"TIME","GEO","UNIT","AGE","SEX","PROJECTION","Value","Flag and Footnotes"
"2019","Czechia","Person","20 years","Total","Baseline projections ","92,370",""
"2019","Czechia","Person","21 years","Total","Baseline projections ","92,881",""
"2019","Czechia","Person","22 years","Total","Baseline projections ","93,530",""
"2019","Czechia","Person","23 years","Total","Baseline projections ","99,720",""
"2019","Czechia","Person","24 years","Total","Baseline projections ","110,749",""
"2019","Czechia","Person","25 years","Total","Baseline projections ","125,121",""
"2019","Czechia","Person","26 years","Total","Baseline projections ","126,773",""
"2019","Czechia","Person","27 years","Total","Baseline projections ","135,055",""
"2019","Czechia","Person","28 years","Total","Baseline projections ","137,802",""
"2019","Czechia","Person","29 years","Total","Baseline projections ","137,593",""
"2019","Czechia","Person","30 years","Total","Baseline projections ","143,531",""
"2019","Czechia","Person","31 years","Total","Baseline projections ","142,466",""
"2019","Czechia","Person","32 years","Total","Baseline projections ","145,005",""
"2019","Czechia","Person","33 years","Total","Baseline projections ","148,040",""
"2019","Czechia","Person","34 years","Total","Baseline projections ","148,432",""
"2019","Czechia","Person","35 years","Total","Baseline projections ","148,691",""
"2019","Czechia","Person","36 years","Total","Baseline projections ","151,592",""
"2019","Czechia","Person","37 years","Total","Baseline projections ","152,178",""
"2019","Czechia","Person","38 years","Total","Baseline projections ","160,173",""
"2019","Czechia","Person","39 years","Total","Baseline projections ","175,779",""
"2019","Czechia","Person","40 years","Total","Baseline projections ","180,839",""
"2019","Czechia","Person","41 years","Total","Baseline projections ","183,127",""
"2019","Czechia","Person","42 years","Total","Baseline projections ","187,471",""
"2019","Czechia","Person","43 years","Total","Baseline projections ","190,444",""
"2019","Czechia","Person","44 years","Total","Baseline projections ","192,018",""
"2019","Czechia","Person","45 years","Total","Baseline projections ","179,712",""
"2019","Czechia","Person","46 years","Total","Baseline projections ","162,794",""
"2019","Czechia","Person","47 years","Total","Baseline projections ","153,284",""
"2019","Czechia","Person","48 years","Total","Baseline projections ","147,059",""
"2019","Czechia","Person","49 years","Total","Baseline projections ","141,263",""
"2019","Czechia","Person","50 years","Total","Baseline projections ","134,229",""
"2019","Czechia","Person","51 years","Total","Baseline projections ","134,122",""
"2019","Czechia","Person","52 years","Total","Baseline projections ","135,358",""
"2019","Czechia","Person","53 years","Total","Baseline projections ","140,185",""
"2019","Czechia","Person","54 years","Total","Baseline projections ","146,138",""
"2019","Czechia","Person","55 years","Total","Baseline projections ","140,572",""
"2019","Czechia","Person","56 years","Total","Baseline projections ","126,107",""
"2019","Czechia","Person","57 years","Total","Baseline projections ","122,557",""
"2019","Czechia","Person","58 years","Total","Baseline projections ","119,683",""
"2019","Czechia","Person","59 years","Total","Baseline projections ","117,715",""
"2019","Czechia","Person","60 years","Total","Baseline projections ","126,462",""
"2019","Czechia","Person","61 years","Total","Baseline projections ","135,168",""
"2019","Czechia","Person","62 years","Total","Baseline projections ","138,759",""
"2019","Czechia","Person","63 years","Total","Baseline projections ","139,388",""
"2019","Czechia","Person","64 years","Total","Baseline projections ","138,775",""
"2019","Czechia","Person","65 years","Total","Baseline projections ","138,472",""
"2019","Czechia","Person","66 years","Total","Baseline projections ","139,614",""
"2019","Czechia","Person","67 years","Total","Baseline projections ","138,639",""
"2019","Czechia","Person","68 years","Total","Baseline projections ","134,479",""
"2019","Czechia","Person","69 years","Total","Baseline projections ","129,016",""
"2019","Czechia","Person","70 years","Total","Baseline projections ","131,031",""
"2019","Czechia","Person","71 years","Total","Baseline projections ","133,506",""
"2019","Czechia","Person","72 years","Total","Baseline projections ","126,413",""
"2019","Czechia","Person","73 years","Total","Baseline projections ","99,562",""
"2019","Czechia","Person","74 years","Total","Baseline projections ","101,587",""
"2019","Czechia","Person","75 years","Total","Baseline projections ","95,940",""
"2019","Czechia","Person","76 years","Total","Baseline projections ","82,211",""
"2019","Czechia","Person","77 years","Total","Baseline projections ","75,844",""
"2019","Czechia","Person","78 years","Total","Baseline projections ","71,443",""
"2019","Czechia","Person","79 years","Total","Baseline projections ","60,256",""
"2019","Czechia","Person","80 years","Total","Baseline projections ","54,974",""
"2019","Czechia","Person","81 years","Total","Baseline projections ","48,725",""
"2019","Czechia","Person","82 years","Total","Baseline projections ","45,014",""
"2019","Czechia","Person","83 years","Total","Baseline projections ","41,865",""
"2019","Czechia","Person","84 years","Total","Baseline projections ","39,082",""
"2019","Czechia","Person","85 years","Total","Baseline projections ","35,535",""
"2019","Czechia","Person","86 years","Total","Baseline projections ","33,348",""
"2019","Czechia","Person","87 years","Total","Baseline projections ","28,973",""
"2019","Czechia","Person","88 years","Total","Baseline projections ","25,252",""
"2019","Czechia","Person","89 years","Total","Baseline projections ","20,161",""
"2019","Czechia","Person","90 years","Total","Baseline projections ","16,447",""
"2019","Czechia","Person","91 years","Total","Baseline projections ","12,689",""
"2019","Czechia","Person","92 years","Total","Baseline projections ","9,992",""
"2019","Czechia","Person","93 years","Total","Baseline projections ","7,510",""
"2019","Czechia","Person","94 years","Total","Baseline projections ","5,542",""
"2019","Czechia","Person","95 years","Total","Baseline projections ","4,042",""
"2019","Czechia","Person","96 years","Total","Baseline projections ","2,691",""
"2019","Czechia","Person","97 years","Total","Baseline projections ","1,755",""
"2019","Czechia","Person","98 years","Total","Baseline projections ","977",""
"2019","Czechia","Person","99 years","Total","Baseline projections ","500",""
"2019","Czechia","Person","100 years or over","Total","Baseline projections ","548",""
"2019","Denmark","Person","Total","Total","Baseline projections ","5,843,186",""
"2019","Denmark","Person","16 years","Total","Baseline projections ","66,999",""
"2019","Denmark","Person","17 years","Total","Baseline projections ","68,128",""
"2019","Denmark","Person","18 years","Total","Baseline projections ","70,270",""
"2019","Denmark","Person","19 years","Total","Baseline projections ","71,153",""
"2019","Denmark","Person","20 years","Total","Baseline projections ","72,524",""
"2019","Denmark","Person","21 years","Total","Baseline projections ","74,160",""
"2019","Denmark","Person","22 years","Total","Baseline projections ","75,007",""
"2019","Denmark","Person","23 years","Total","Baseline projections ","78,587",""
"2019","Denmark","Person","24 years","Total","Baseline projections ","80,876",""
"2019","Denmark","Person","25 years","Total","Baseline projections ","81,037",""
"2019","Denmark","Person","26 years","Total","Baseline projections ","83,814",""
"2019","Denmark","Person","27 years","Total","Baseline projections ","81,688",""
"2019","Denmark","Person","28 years","Total","Baseline projections ","81,765",""
"2019","Denmark","Person","29 years","Total","Baseline projections ","79,132",""
"2019","Denmark","Person","30 years","Total","Baseline projections ","76,429",""
"2019","Denmark","Person","31 years","Total","Baseline projections ","73,112",""
"2019","Denmark","Person","32 years","Total","Baseline projections ","71,788",""
"2019","Denmark","Person","33 years","Total","Baseline projections ","69,866",""
"2019","Denmark","Person","34 years","Total","Baseline projections ","67,290",""
"2019","Denmark","Person","35 years","Total","Baseline projections ","65,626",""
"2019","Denmark","Person","36 years","Total","Baseline projections ","66,554",""
"2019","Denmark","Person","37 years","Total","Baseline projections ","66,036",""
"2019","Denmark","Person","38 years","Total","Baseline projections ","69,342",""
"2019","Denmark","Person","39 years","Total","Baseline projections ","70,405",""
"2019","Denmark","Person","40 years","Total","Baseline projections ","72,093",""
